Centro trabalho,Descrição,Definição Turno,Descrição turno,Dia semana,Hora início,Hora fim,Tempo utilização (s),Válido desde,Válido até,Nº capacidades
CNMAGLCI,CNM-AG/CILINDROS,CC01,T 06:00-14:00,003,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMAGLCI,CNM-AG/CILINDROS,CC02,T 14:00-22:00,003,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMAGLCI,CNM-AG/CILINDROS,CC03,T 22:00-06:00,003,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,1
CNMAGLCI,CNM-AG/CILINDROS,CC02,T 14:00-22:00,004,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMAGLCI,CNM-AG/CILINDROS,CC03,T 22:00-06:00,005,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,1
CNMAGLCI,CNM-AG/CILINDROS,CC04,T 06:00-16:00,006,06:00:00,16:00:00,33600,22/05/2020,31/12/9999,1
CNMAGLCI,CNM-AG/CILINDROS,CC01,T 06:00-14:00,002,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMAGLCI,CNM-AG/CILINDROS,CC02,T 14:00-22:00,002,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMAGLCI,CNM-AG/CILINDROS,CC01,T 06:00-14:00,005,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMAGLCI,CNM-AG/CILINDROS,CC03,T 22:00-06:00,002,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,1
CNMAGLCI,CNM-AG/CILINDROS,CC03,T 22:00-06:00,004,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,1
CNMAGLCI,CNM-AG/CILINDROS,CC01,T 06:00-14:00,004,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMAGLCI,CNM-AG/CILINDROS,CC02,T 14:00-22:00,005,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMAGLCI,CNM-AG/CILINDROS,CC03,T 22:00-06:00,001,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,1
CNMAGLCI,CNM-AG/CILINDROS,CC02,T 14:00-22:00,001,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMAGLCI,CNM-AG/CILINDROS,CC01,T 06:00-14:00,001,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMM,CNM-LAMINAGEM MR MANUAL,CC03,T 22:00-06:00,004,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMM,CNM-LAMINAGEM MR MANUAL,CC03,T 22:00-06:00,005,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMM,CNM-LAMINAGEM MR MANUAL,CC04,T 06:00-16:00,007,06:00:00,16:00:00,33600,22/05/2020,31/12/9999,1
CNMLAMMM,CNM-LAMINAGEM MR MANUAL,CC01,T 06:00-14:00,002,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMM,CNM-LAMINAGEM MR MANUAL,CC02,T 14:00-22:00,002,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMM,CNM-LAMINAGEM MR MANUAL,CC01,T 06:00-14:00,004,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMM,CNM-LAMINAGEM MR MANUAL,CC04,T 06:00-16:00,006,06:00:00,16:00:00,33600,22/05/2020,31/12/9999,1
CNMLAMMM,CNM-LAMINAGEM MR MANUAL,CC03,T 22:00-06:00,001,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMM,CNM-LAMINAGEM MR MANUAL,CC01,T 06:00-14:00,001,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMM,CNM-LAMINAGEM MR MANUAL,CC02,T 14:00-22:00,003,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMM,CNM-LAMINAGEM MR MANUAL,CC01,T 06:00-14:00,005,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMM,CNM-LAMINAGEM MR MANUAL,CC03,T 22:00-06:00,002,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMM,CNM-LAMINAGEM MR MANUAL,CC01,T 06:00-14:00,003,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMM,CNM-LAMINAGEM MR MANUAL,CC03,T 22:00-06:00,003,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMM,CNM-LAMINAGEM MR MANUAL,CC02,T 14:00-22:00,001,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMM,CNM-LAMINAGEM MR MANUAL,CC02,T 14:00-22:00,005,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMM,CNM-LAMINAGEM MR MANUAL,CC02,T 14:00-22:00,004,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMA,CNM-LAMINAGEM MR AUTO,CC03,T 22:00-06:00,005,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMA,CNM-LAMINAGEM MR AUTO,CC03,T 22:00-06:00,002,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMA,CNM-LAMINAGEM MR AUTO,CC04,T 06:00-16:00,006,06:00:00,16:00:00,33600,22/05/2020,31/12/9999,1
CNMLAMMA,CNM-LAMINAGEM MR AUTO,CC02,T 14:00-22:00,003,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMA,CNM-LAMINAGEM MR AUTO,CC03,T 22:00-06:00,004,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMA,CNM-LAMINAGEM MR AUTO,CC01,T 06:00-14:00,003,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMA,CNM-LAMINAGEM MR AUTO,CC01,T 06:00-14:00,001,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMA,CNM-LAMINAGEM MR AUTO,CC01,T 06:00-14:00,004,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMA,CNM-LAMINAGEM MR AUTO,CC03,T 22:00-06:00,001,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMA,CNM-LAMINAGEM MR AUTO,CC01,T 06:00-14:00,002,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMA,CNM-LAMINAGEM MR AUTO,CC02,T 14:00-22:00,005,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMA,CNM-LAMINAGEM MR AUTO,CC01,T 06:00-14:00,005,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMA,CNM-LAMINAGEM MR AUTO,CC04,T 06:00-16:00,007,06:00:00,16:00:00,33600,22/05/2020,31/12/9999,1
CNMLAMMA,CNM-LAMINAGEM MR AUTO,CC02,T 14:00-22:00,002,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMA,CNM-LAMINAGEM MR AUTO,CC02,T 14:00-22:00,001,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMA,CNM-LAMINAGEM MR AUTO,CC02,T 14:00-22:00,004,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMMA,CNM-LAMINAGEM MR AUTO,CC03,T 22:00-06:00,003,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,1
CNMREBMM,CNM-REBOBINADOR MR MANUAL,CC02,T 14:00-22:00,004,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMREBMM,CNM-REBOBINADOR MR MANUAL,CC02,T 14:00-22:00,001,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMREBMM,CNM-REBOBINADOR MR MANUAL,CC02,T 14:00-22:00,003,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMREBMM,CNM-REBOBINADOR MR MANUAL,CC01,T 06:00-14:00,003,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMREBMM,CNM-REBOBINADOR MR MANUAL,CC02,T 14:00-22:00,002,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMREBMM,CNM-REBOBINADOR MR MANUAL,CC01,T 06:00-14:00,005,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMREBMM,CNM-REBOBINADOR MR MANUAL,CC02,T 14:00-22:00,005,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMREBMM,CNM-REBOBINADOR MR MANUAL,CC01,T 06:00-14:00,002,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMREBMM,CNM-REBOBINADOR MR MANUAL,CC01,T 06:00-14:00,001,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMREBMM,CNM-REBOBINADOR MR MANUAL,CC01,T 06:00-14:00,004,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBMM,CNM-EMBALAGEM MR MANUAL,CC02,T 14:00-22:00,001,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBMM,CNM-EMBALAGEM MR MANUAL,CC01,T 06:00-14:00,002,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBMM,CNM-EMBALAGEM MR MANUAL,CC01,T 06:00-14:00,001,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBMM,CNM-EMBALAGEM MR MANUAL,CC01,T 06:00-14:00,004,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBMM,CNM-EMBALAGEM MR MANUAL,CC02,T 14:00-22:00,005,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBMM,CNM-EMBALAGEM MR MANUAL,CC02,T 14:00-22:00,003,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBMM,CNM-EMBALAGEM MR MANUAL,CC02,T 14:00-22:00,002,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBMM,CNM-EMBALAGEM MR MANUAL,CC01,T 06:00-14:00,003,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBMM,CNM-EMBALAGEM MR MANUAL,CC02,T 14:00-22:00,004,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBMM,CNM-EMBALAGEM MR MANUAL,CC01,T 06:00-14:00,005,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMLAMRL,CNM-LAMINADORAS ROLOS,CC01,T 06:00-14:00,005,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,4
CNMLAMRL,CNM-LAMINADORAS ROLOS,CC01,T 06:00-14:00,001,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,4
CNMLAMRL,CNM-LAMINADORAS ROLOS,CC02,T 14:00-22:00,004,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,4
CNMLAMRL,CNM-LAMINADORAS ROLOS,CC02,T 14:00-22:00,002,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,4
CNMLAMRL,CNM-LAMINADORAS ROLOS,CC02,T 14:00-22:00,001,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,4
CNMLAMRL,CNM-LAMINADORAS ROLOS,CC01,T 06:00-14:00,002,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,4
CNMLAMRL,CNM-LAMINADORAS ROLOS,CC03,T 22:00-06:00,003,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,4
CNMLAMRL,CNM-LAMINADORAS ROLOS,CC02,T 14:00-22:00,003,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,4
CNMLAMRL,CNM-LAMINADORAS ROLOS,CC03,T 22:00-06:00,002,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,4
CNMLAMRL,CNM-LAMINADORAS ROLOS,CC03,T 22:00-06:00,005,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,4
CNMLAMRL,CNM-LAMINADORAS ROLOS,CC03,T 22:00-06:00,004,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,4
CNMLAMRL,CNM-LAMINADORAS ROLOS,CC01,T 06:00-14:00,004,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,4
CNMLAMRL,CNM-LAMINADORAS ROLOS,CC02,T 14:00-22:00,005,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,4
CNMLAMRL,CNM-LAMINADORAS ROLOS,CC01,T 06:00-14:00,003,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,4
CNMLAMRL,CNM-LAMINADORAS ROLOS,CC03,T 22:00-06:00,001,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,4
CNMEMBRL,CNM-EMBALAGEM ROLOS,CC01,T 06:00-14:00,004,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBRL,CNM-EMBALAGEM ROLOS,CC01,T 06:00-14:00,003,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBRL,CNM-EMBALAGEM ROLOS,CC03,T 22:00-06:00,003,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBRL,CNM-EMBALAGEM ROLOS,CC02,T 14:00-22:00,003,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBRL,CNM-EMBALAGEM ROLOS,CC03,T 22:00-06:00,005,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBRL,CNM-EMBALAGEM ROLOS,CC01,T 06:00-14:00,005,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBRL,CNM-EMBALAGEM ROLOS,CC03,T 22:00-06:00,002,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBRL,CNM-EMBALAGEM ROLOS,CC02,T 14:00-22:00,002,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBRL,CNM-EMBALAGEM ROLOS,CC01,T 06:00-14:00,001,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBRL,CNM-EMBALAGEM ROLOS,CC01,T 06:00-14:00,002,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBRL,CNM-EMBALAGEM ROLOS,CC03,T 22:00-06:00,001,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBRL,CNM-EMBALAGEM ROLOS,CC02,T 14:00-22:00,004,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBRL,CNM-EMBALAGEM ROLOS,CC02,T 14:00-22:00,005,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBRL,CNM-EMBALAGEM ROLOS,CC03,T 22:00-06:00,004,22:00:00,06:00:00,26400,22/05/2020,31/12/9999,1
CNMEMBRL,CNM-EMBALAGEM ROLOS,CC02,T 14:00-22:00,001,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMAGBL1,CNM-AGLOMERAÇÃO BL1,CC02,T 14:00-22:00,001,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
CNMAGBL1,CNM-AGLOMERAÇÃO BL1,CC01,T 06:00-14:00,002,06:00:00,14:00:00,26400,22/05/2020,31/12/9999,1
CNMAGBL1,CNM-AGLOMERAÇÃO BL1,CC02,T 14:00-22:00,003,14:00:00,22:00:00,26400,22/05/2020,31/12/9999,1
