Nome planejador,Status ordem de produção,Tipo de Ordem de produção/planeada,Ordem Venda / Transferência,Item OV/Transferência,Ship to,Responsável SAC,Ordem de produção / planeada,Data-base do início,Data-base do fim,Data desejada de saída de mercadoria,Semana saída de mercadoria,Material de produção,Texto breve de material,Quantidade total da ordem,Componente,Descritivo componente,Qtd.necessária,Descritivo de Centro de Trabalho,Centro de trabalho,Duração da operação,País Destino,Quantidade fornecida ordem de produção
CRM - Transformaçã,LIB,ZRRL,3826000006,10,,,1600073636,29/10/2021,30/10/2021,,0,70006584,"RL CR 711G/PAL 1040X1,5 NE",792.000,70000933,CL CR 711G 1067X635 NE,5.841,CRM-LAMINADORA ROLOS BORRACHA,CRMLAMRL,4.283,,0.000
CRM - Transformaçã,LIB,ZRRL,3826000006,20,,,1600073638,28/10/2021,29/10/2021,,0,70006584,"RL CR 711G/PAL 1040X1,5 NE",704.000,70000933,CL CR 711G 1067X635 NE,5.192,CRM-LAMINADORA ROLOS BORRACHA,CRMLAMRL,3.808,,0.000
CRM - Transformaçã,ABER,ZRER,3826000006,10,UNIVERSAL GASKETS,DMEDEIROS,1600101525,29/10/2021,30/10/2021,25/10/2021,202143,70003130,"RL CR 711G/PAL 1040X1,5-44M 01",18.000,70006584,"RL CR 711G/PAL 1040X1,5 NE",792.000,CRM-MEI,CRMRLMEI,3.405,IN,0.000
CRM - Transformaçã,ABER,ZRER,3826000006,20,UNIVERSAL GASKETS,DMEDEIROS,1600101526,28/10/2021,29/10/2021,25/10/2021,202144,70003130,"RL CR 711G/PAL 1040X1,5-44M 01",16.000,70006584,"RL CR 711G/PAL 1040X1,5 NE",704.000,CRM-MEI,CRMRLMEI,3.027,IN,0.000
CRM - Transformaçã,,KD,3826000005,10,,,384906474,03/12/2021,06/12/2021,,0,70015574,RL CI 5700/T01 1000X20/10 NE,1 440.000,70015573,"RL CI 5700/T01 1000X30,0 NE",720.000,CRM-DIVISORA,CRMDIV01,26.182,,0.000
CRM - Transformaçã,,KD,3826000005,20,,,384906475,03/12/2021,06/12/2021,,0,70015574,RL CI 5700/T01 1000X20/10 NE,1 440.000,70015573,"RL CI 5700/T01 1000X30,0 NE",720.000,CRM-DIVISORA,CRMDIV01,26.182,,0.000
CRM - Transformaçã,,KD,3826000005,40,,,384906476,15/11/2021,16/11/2021,,0,70015574,RL CI 5700/T01 1000X20/10 NE,1 440.000,70015573,"RL CI 5700/T01 1000X30,0 NE",720.000,CRM-DIVISORA,CRMDIV01,26.182,,0.000
CRM - Transformaçã,,KD,3826000005,10,,,384906767,02/12/2021,03/12/2021,,0,70015573,"RL CI 5700/T01 1000X30,0 NE",720.000,70001946,CL CI 5700 1067X990 NE,38.772,CRM-LAMINADORA ROLOS BORRACHA,CRMLAMRL,26.182,,0.000
CRM - Transformaçã,,KD,3826000005,20,,,384906768,02/12/2021,03/12/2021,,0,70015573,"RL CI 5700/T01 1000X30,0 NE",720.000,70001946,CL CI 5700 1067X990 NE,38.772,CRM-LAMINADORA ROLOS BORRACHA,CRMLAMRL,26.182,,0.000
CRM - Transformaçã,,KD,3826000005,40,,,384906769,15/11/2021,16/11/2021,,0,70015573,"RL CI 5700/T01 1000X30,0 NE",720.000,70001946,CL CI 5700 1067X990 NE,38.772,CRM-LAMINADORA ROLOS BORRACHA,CRMLAMRL,26.182,,0.000
CRM - Transformaçã,ABER,ZRER,3826000005,20,PANDROL NV,COALMEIDA,1600031584,06/12/2021,10/12/2021,25/10/2021,202150,70007763,RL CI 5700/2TI 1000X20/10-10M PA,144.000,70015574,RL CI 5700/T01 1000X20/10 NE,1 440.000,CRM-MEI,CRMRLMEI,51.429,BE,0.000
