,id_material,codigo_material,caracteristicas,tempo_estabilizacao,id_precedencias,fator_inc,descricao_material,unidade_material,centro trabalho
0,0,32000004,"{'COZ_CALIBRE': '12/17', 'COZ_TIPO': 'T'}",0,[0],[1.0],COZ CHE OUT 12/17 T,KG,GMTRESPA
1,1,33000252,{'CATEGORIA': 'APARA RESPALDADA'},0,[0],[1.0],CT./TRIT N/V - COZ APARA RESPALDADA,KG,GMTRESPA
2,2,40000015,"{'TRIT_ACABAMENTO': 'SECO', 'TRIT_GRANULOMETRIA': '14/25', 'TRIT_EMBALAGEM': 'GRANEL', 'TRIT_PESO_ESPECIFICO': '80-90'}",0,[0],[1.4],TRIT ESP 14/25 80-90 SE GR,KG,GMT3TRIT
3,3,40000027,"{'TRIT_PESO_ESPECIFICO': '80-90', 'TRIT_GRANULOMETRIA': '3/14', 'TRIT_EMBALAGEM': 'GRANEL', 'CERTIFICACAO': 'PEFC', 'TRIT_ACABAMENTO': 'SECO'}",0,[1],[1.6949999999999998],TRIT ESP 3/14 80-90 SE GR PEFC,KG,GMT3TRIT
4,4,40000047,"{'TRIT_ACABAMENTO': 'SECO', 'TRIT_GRANULOMETRIA': '14/25', 'TRIT_EMBALAGEM': 'SA004', 'TRIT_PESO_ESPECIFICO': '80-90'}",0,[2],[1.0],TRIT ESP 14/25 80-90 SE SA004,KG,GMTEMBAL
5,5,40000057,"{'TRIT_EMBALAGEM': 'SA003', 'TRIT_PESO_ESPECIFICO': '80-90', 'TRIT_ACABAMENTO': 'SECO', 'TRIT_GRANULOMETRIA': '3/14'}",0,[],[],TRIT ESP 3/14 80-90 SE SA003,KG,GMTEMBAL
6,6,40000067,"{'TRIT_PESO_ESPECIFICO': '80-90', 'TRIT_GRANULOMETRIA': '4/14', 'TRIT_ACABAMENTO': 'SECO', 'TRIT_EMBALAGEM': 'SA059'}",0,[],[],TRIT ESP 4/14 80-90 SE SA059,KG,GMTEMBSB
7,7,41000304,"{'GRAN_ACABAMENTO': 'SECO', 'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_GRANULOMETRIA': '2/4', 'GRAN_PESO_ESPECIFICO': '65-75'}",0,[],[],GRAN MD 2/4 65-75 SE-FA GR,KG,GMTSECAD
8,8,41000313,"{'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_PESO_ESPECIFICO': '58-62', 'GRAN_GRANULOMETRIA': '0,5/1', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR'}",0,[],[],"GRAN BD 0,5/1 58-62 SE GR",KG,GMTSECAD
9,9,41000314,"{'GRAN_ACABAMENTO': 'SECO', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_GRANULOMETRIA': '1/2', 'GRAN_PESO_ESPECIFICO': '58-62', 'GRAN_EMBALAGEM': 'GRANEL'}",0,[],[],GRAN BD 1/2 58-62 SE GR,KG,GMTSECAD
10,10,41000315,"{'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_GRANULOMETRIA': '2/3', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_PESO_ESPECIFICO': '65-70'}",0,[],[],GRAN BD 2/3 65-70 SE GR,KG,GMTSECAD
11,11,41000316,"{'GRAN_PESO_ESPECIFICO': '65-75', 'GRAN_GRANULOMETRIA': '3/4', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_EMBALAGEM': 'GRANEL'}",0,[],[],GRAN BD 3/4 65-75 SE GR,KG,GMTSECAD
12,12,41000317,"{'GRAN_PESO_ESPECIFICO': '60-65', 'GRAN_GRANULOMETRIA': '3/5', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_EMBALAGEM': 'GRANEL'}",0,[],[],GRAN BD 3/5 60-65 SE GR,KG,GMTSECAD
13,13,41000318,"{'GRAN_PESO_ESPECIFICO': '65-75', 'GRAN_GRANULOMETRIA': '4/5', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR'}",0,[],[],GRAN BD 4/5 65-75 SE GR,KG,GMTSECAD
14,14,41000322,"{'GRAN_ACABAMENTO': 'SECO', 'GRAN_PESO_ESPECIFICO': '75-85', 'GRAN_GRANULOMETRIA': '0,5/1', 'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR'}",0,[],[],"GRAN MD 0,5/1 75-85 SE GR",KG,GMTSECAD
15,15,41000323,"{'GRAN_PESO_ESPECIFICO': '65-75', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_GRANULOMETRIA': '0,5/2', 'GRAN_ACABAMENTO': 'SECO'}",0,[],[],"GRAN MD 0,5/2 65-75 SE GR",KG,GMTSECAD
16,16,41000324,"{'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_ACABAMENTO': 'SECO', 'GRAN_PESO_ESPECIFICO': '80-90', 'GRAN_GRANULOMETRIA': '1/2', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR'}",0,[],[],GRAN MD 1/2 80-90 SE GR,KG,GMTSECAD
17,17,41000331,"{'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_GRANULOMETRIA': '0,5/1', 'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_PESO_ESPECIFICO': '100-120', 'GRAN_ACABAMENTO': 'SECO'}",0,[],[],"GRAN AD 0,5/1 100-120 SE GR",KG,GMTSECAD
18,18,41000332,"{'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_GRANULOMETRIA': '0,5/2', 'GRAN_PESO_ESPECIFICO': '100-120', 'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_ACABAMENTO': 'SECO'}",0,[],[],"GRAN AD 0,5/2 100-120 SE GR",KG,GMTSECAD
19,19,41000333,"{'GRAN_ACABAMENTO': 'SECO', 'GRAN_TIPO': 'TIPO I-PRODUÇÃO P/ AGLOMERAR', 'GRAN_PESO_ESPECIFICO': '100-120', 'GRAN_EMBALAGEM': 'GRANEL', 'GRAN_GRANULOMETRIA': '1/2'}",0,[],[],GRAN AD 1/2 100-120 SE GR,KG,GMTSECAD
